81 3
-0.791938 -1.72474 -1.5516 
-1.57352 -2.0029 -2.30193 
-1.57695 -1.87518 -2.35476 
0 0 0 
-2.14105 -2.43972 -2.25446 
-2.74796 -2.91751 -2.34363 
0 0 0 
0 0 0 
-1.36336 -1.76087 0.269964 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0.211038 0 0 
0 0 0 
0 0 0 
0 0 0 
1.86196 -0.860669 0.543625 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0.309128 0 -0.287654 
-0.643686 -1.51509 -1.74578 
-1.50067 -1.93998 -2.0382 
0 0 0 
0 0 0 
-0.797348 -1.36502 -0.760202 
-0.970547 -0.872449 -1.20399 
0 0 0 
0 0 0 
0 0 0 
-0.139235 -0.402454 -0.207993 
0 -0.211277 0 
0 0 0 
0 0 0 
-1.00433 -0.0377943 0.427963 
-0.252238 0.147024 1.04685 
0 0 0 
0 0 0 
3.87771 1.88836 1.89858 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
1.54594 2.29085 1.10101 
-0.259144 -0.599439 -0.549558 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-1.63284 -1.85142 -0.958598 
0.0547059 -0.310764 -0.436348 
0 0 0 
0 0 0 
2.11709 0.0770173 0.321438 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-0.0512447 -1.63 0 
-1.03718 0 0 
0 0 0 
0 0 0 
-1.74266 -2.38989 -3.75638 
