81 3
-1.01387 -1.67868 -1.95421 
-1.70483 -2.04165 -2.38524 
-1.8875 -2.05845 -2.35526 
0 0 0 
-2.12964 -2.50258 -0.687125 
-2.60568 -2.84603 -0.232923 
0 0 0 
0 0 0 
-1.61161 -2.49911 1.67104 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0.0344986 0 0.813934 
2.43748 0 0.0654237 
0 0 0 
0 0 0 
5.4432 -1.42239 0.264856 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
2.94365 0.0839016 -0.265058 
-1.24145 -1.73813 -1.84257 
-1.71436 -2.06803 -2.38604 
0 0 0 
0 0 0 
-1.37025 -1.72761 -1.04074 
-1.12409 -1.22572 -1.36856 
0 0 0 
0 0 0 
-0.623564 -0.521143 -0.476152 
-0.463752 -0.594715 -0.630943 
0 -0.211277 0 
0 0 0 
-0.227928 1.71106 0 
-0.926703 0.425988 1.41283 
-0.600593 0.923299 2.04327 
-0.0797265 2.54719 0 
3.35679 0.301776 0 
4.03845 2.79675 2.59318 
0 0 0 
0 0 0 
0 0 0 
-0.327531 0.0782481 -0.180763 
-0.202705 1.58048 0 
-0.20269 0.565728 -0.0814695 
-0.0642481 0.592796 0 
0.223657 0.186955 -0.10796 
1.59672 2.05387 1.31524 
-0.259144 -0.767423 -0.549558 
-0.15717 0 0 
0 0 0 
0 0 0 
0 0 0 
-0.128171 0 0 
0 0 0 
0 0 0 
0 0 0 
-0.224466 -0.20989 -0.174428 
-0.1 0 0 
0 0 0 
-0.163 1.12994 0 
-1.40307 -1.55349 0.137686 
-0.890686 -0.916634 -0.427241 
4.42948 0 0 
4.98515 0.176099 0 
3.07912 0.183492 0.321438 
0 0 0 
0 0 0 
0 0 0 
-1.47688 -1.4345 -1.38286 
-0.193719 -1.63 -1.15526 
-1.03718 -1.6452 -0.14063 
-1.56318 -1.51397 -1.5607 
-1.94031 -2.62361 -1.31253 
-4.59102 -2.26124 -4.15395 
