81 3
0 -0.963254 -0.774134 
-0.561633 -1.23939 -1.81221 
0 -1.19669 -0.606411 
0 0 0 
-0.732439 -0.879215 -0.560161 
-1.73532 -1.9728 -2.32572 
0 0 0 
0 0 0 
-2.14578 -2.07802 -1.7211 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
1.0776 -0.0881492 0.343089 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-0.239408 -0.60075 -1.28967 
-0.398579 -0.441744 -0.355466 
0 0 0 
0 0 0 
-0.1 -0.188896 -0.369941 
-0.296995 0 -0.492322 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 -0.211277 0 
0 0 0 
0 0 0 
-0.830125 -0.558137 0.224801 
-0.240973 -0.401592 0.722548 
0 0 0 
0 0 0 
2.88319 1.49708 1.57443 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-0.655916 1.29483 -0.514867 
0 -0.1 -0.302198 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-0.906022 -1.28044 -1.24448 
-1.09605 -1.20736 -0.892463 
0 0 0 
0 0 0 
0.940217 -0.151657 0.200337 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-0.0512447 0 0 
-1.03718 0 0 
0 0 0 
0 0 0 
-3.33819 -1.69709 -3.79519 
