81 3
-0.705025 -1.61367 -1.42071 
-1.47477 -1.99981 -2.21886 
-1.33968 -1.83179 -2.21673 
0 0 0 
-1.90528 -2.04248 -1.92868 
-2.86025 -2.79134 -2.51815 
0 0 0 
0 0 0 
-0.997545 -2.17088 -0.130901 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0.211038 0 0 
0 0 0 
0 0 0 
0 0 0 
2.7788 -0.812408 0.109526 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0.309128 0 -0.287654 
-0.560501 -1.28456 -1.74578 
-1.43948 -1.7811 -1.85388 
0 0 0 
0 0 0 
-0.603825 -1.07916 -0.760202 
-0.84489 -0.678359 -1.05492 
0 0 0 
0 0 0 
0 0 0 
-0.139235 -0.402454 -0.207993 
0 -0.211277 0 
0 0 0 
0 0 0 
-0.311427 -0.0929473 0.47798 
-0.370804 -0.0650024 0.843676 
0 0 0 
0 0 0 
2.57625 1.51705 1.97623 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0.450985 1.81794 0.93633 
-0.259144 -0.453108 -0.455915 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-1.683 -1.24375 -0.447129 
0.112669 -0.370804 -0.454759 
0 0 0 
0 0 0 
1.81921 0.0826309 0.321438 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-0.0512447 -1.63 0 
-1.03718 0 0 
0 0 0 
0 0 0 
-2.1364 -1.54746 -3.33147 
