81 3
-0.942135 -1.67523 -1.92994 
-1.62128 -2.06538 -2.30823 
-1.76705 -1.99287 -2.35526 
0 0 0 
-2.17773 -2.51993 -2.44797 
-2.47572 -2.75997 -2.40123 
0 0 0 
0 0 0 
-1.54826 -2.37223 -0.624651 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0.0344986 0 0 
0.233696 0 0 
0 0 0 
0 0 0 
3.17788 -0.996613 -0.0508913 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0.309128 0.0839016 -0.287654 
-0.816714 -1.69389 -1.80196 
-1.72103 -2.06418 -2.35844 
0 0 0 
0 0 0 
-1.12067 -1.72761 -1.29414 
-1.12409 -1.05439 -1.20399 
0 0 0 
0 0 0 
0 0 0 
-0.334092 -0.594715 -0.405558 
0 -0.211277 0 
0 0 0 
-0.227928 0 0 
-0.324287 -0.058354 0.0250401 
-0.205001 0.267285 1.04517 
0 0 0 
0 0 0 
3.53095 1.99078 2.46195 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
1.26127 1.77932 0.507335 
-0.259144 -0.767423 -0.549558 
-0.15717 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-0.11814 -0.20989 -0.174428 
0 0 0 
0 0 0 
0 0 0 
-1.36617 -1.55349 -0.114265 
0.200671 -0.310764 -0.436348 
0 0 0 
0 0 0 
2.39412 0.183492 0.321438 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-0.0512447 -1.63 0 
-1.03718 0 0 
0 0 0 
0 0 0 
-3.27098 -2.04707 -3.64249 
