81 3
-0.29157 -1.20027 -0.947683 
-0.768741 -1.68107 -2.08726 
-0.547638 -1.57204 -1.04911 
0 0 0 
-1.36856 -1.17172 -1.49149 
-2.69639 -2.57575 -2.64456 
0 0 0 
0 0 0 
-2.5242 -2.44651 -1.46405 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
1.0776 -0.769281 0.343089 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-0.474744 -0.60075 -1.28967 
-0.718497 -0.779051 -0.473731 
0 0 0 
0 0 0 
-0.205372 -0.188896 -0.369941 
-0.296995 0 -0.73436 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 -0.211277 0 
0 0 0 
0 0 0 
-1.44033 -0.518592 -0.371497 
-0.923902 -0.0432157 0.951803 
0 0 0 
0 0 0 
3.82645 1.49657 1.91576 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
1.57523 1.5056 -0.187231 
0 -0.1 -0.302198 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-1.83515 -1.13576 -0.93716 
-0.491433 -1.04642 0.112311 
0 0 0 
0 0 0 
1.06295 -0.0311758 0.323847 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-0.0512447 0 0 
-1.03718 0 0 
0 0 0 
0 0 0 
-2.55079 -1.60909 -4.02299 
