81 3
-0.382823 -1.32892 -1.34195 
-1.22482 -1.89455 -2.10691 
-0.795001 -1.76955 -1.44258 
0 0 0 
-1.62198 -1.55049 -1.49149 
-2.65272 -2.78386 -2.22358 
0 0 0 
0 0 0 
-2.41787 -2.4894 -0.774241 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
1.62441 -1.4122 0.277753 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-0.560501 -1.04965 -1.43959 
-1.03915 -1.33301 -1.16424 
0 0 0 
0 0 0 
-0.205372 -0.620939 -0.369941 
-0.516735 0 -0.73436 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 -0.211277 0 
0 0 0 
0 0 0 
-0.746596 0.0523823 0.274308 
-0.561907 -0.209657 0.198799 
0 0 0 
0 0 0 
3.49665 2.36003 1.78945 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
1.57975 1.47267 0.345724 
-0.133232 -0.293841 -0.455915 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-1.79412 -1.15158 -0.724293 
-0.245972 -0.586693 0.464078 
0 0 0 
0 0 0 
1.10337 -0.100397 0.336669 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-0.0512447 -1.63 0 
-1.03718 0 0 
0 0 0 
0 0 0 
-2.98956 -3.26617 -3.97037 
