81 3
-1.01387 -1.67868 -1.95421 
-1.70483 -2.04165 -2.38524 
-1.94562 -2.05845 -2.35526 
0 0 0 
-2.12964 -2.50258 -0.716107 
-2.60568 -2.84603 -0.81305 
0 0 0 
0 0 0 
-1.50273 -2.17983 0.720587 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0.0344986 0 0.825593 
2.54564 0 0.0654237 
0 0 0 
0 0 0 
5.73619 -1.42239 0.264856 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
1.3349 0.0839016 -0.265058 
-1.24145 -1.78388 -1.84257 
-1.71389 -2.06803 -2.38604 
0 0 0 
0 0 0 
-1.37025 -1.72761 -1.44826 
-1.20653 -1.22572 -1.36856 
0 0 0 
0 0 0 
-1.14541 -1.24921 -1.2228 
-0.463752 -0.594715 -0.630943 
0 -0.211277 0 
0 0 0 
-0.227928 1.80613 0 
-0.776775 0.126133 0.491262 
-0.600593 0.6032 2.27994 
-0.0797265 3.05258 0 
4.20824 0.301776 0 
4.6987 2.65918 2.83813 
0 0 0 
0 0 0 
0 0 0 
-0.327531 1.60015 -0.180763 
-0.202705 1.69462 0 
-0.20269 0.647484 -0.0814695 
-0.146631 -0.219641 -0.151536 
1.21266 0.210237 -0.188749 
1.16998 1.14537 1.06603 
-0.420131 -0.767423 -0.549558 
-0.15717 0 0 
0 0 0 
0 0 0 
0 0 0 
-0.128171 0 0 
0 0 0 
0 0 0 
-0.151618 -0.203446 -0.164201 
-0.50324 -0.565175 -0.509648 
-0.1 0 0 
0 0 0 
-0.257811 -1.61752 -0.577021 
-1.40307 -1.55349 -0.542695 
-0.890686 -0.916634 -0.0991582 
4.9298 0.272471 0 
4.88334 0.176099 0 
4.1602 0.252524 0.321438 
-0.413075 -0.653168 -0.55575 
0 0 0 
0 0 0 
-1.96757 -2.16531 -2.10443 
-1.24609 -1.63 -1.15526 
-1.03718 -1.6452 -0.230617 
-1.03522 -1.60962 -1.62184 
-3.25825 -2.62361 -1.63058 
-4.59102 -4.10437 -1.35012 
