81 3
0 -0.692849 -0.36883 
-0.33577 -0.954419 -1.15896 
0 -0.935367 -0.322821 
0 0 0 
-0.201499 -0.226945 0 
-1.50453 -1.78187 -2.20856 
0 0 0 
0 0 0 
-1.97357 -2.07802 -1.67526 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0.452384 -0.213824 0.405434 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-0.1 -0.462527 -0.856503 
-0.398579 -0.274352 -0.20269 
0 0 0 
0 0 0 
0 0 -0.369941 
-0.296995 0 -0.330826 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-0.387274 -0.274915 0.00528958 
-0.740131 -0.614448 0.494505 
0 0 0 
0 0 0 
3.57986 1.56558 2.14712 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0.5742 1.07271 -0.0573046 
0 -0.1 -0.16811 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-0.531119 -0.335671 -1.21785 
-0.772109 -1.42123 -0.799213 
0 0 0 
0 0 0 
0.831482 -0.151657 0.200337 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-0.0512447 0 0 
0 0 0 
0 0 0 
0 0 0 
0.235185 0.740373 -0.684693 
