81 3
-0.557198 -1.32892 -1.34195 
-1.41528 -1.98844 -2.26159 
-0.910418 -1.76955 -1.44258 
0 0 0 
-1.59277 -1.87635 -1.82417 
-2.42309 -2.69209 -2.86489 
0 0 0 
0 0 0 
-2.27198 -2.80751 -1.43239 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
1.83943 -1.08892 -0.117285 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0.309128 0 -0.287654 
-0.560501 -1.28456 -1.60468 
-1.29223 -1.33301 -1.35697 
0 0 0 
0 0 0 
-0.603825 -0.751096 -0.559799 
-0.516735 -0.476011 -0.864111 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 -0.211277 0 
0 0 0 
0 0 0 
-0.354572 -0.081746 0.33594 
-0.436436 -0.361172 0.788562 
0 0 0 
0 0 0 
4.06866 2.11628 2.04505 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0.962129 1.64586 0.332835 
-0.259144 -0.453108 -0.455915 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-1.91241 -1.24375 -0.650007 
-0.111668 -0.409286 0.497675 
0 0 0 
0 0 0 
1.86268 0.0826309 0.321438 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-0.0512447 -1.63 0 
-1.03718 0 0 
0 0 0 
0 0 0 
-3.03908 -1.63219 -2.68368 
