81 3
-1.01387 -1.67868 -1.95421 
-1.70483 -2.04165 -2.38524 
-1.80383 -2.05845 -2.35526 
0 0 0 
-2.12964 -2.50258 -2.07587 
-2.70159 -2.84603 -2.3961 
0 0 0 
0 0 0 
-1.58095 -2.52979 -0.642635 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0.0344986 0 0.0905972 
0.385333 0 0.0654237 
0 0 0 
0 0 0 
2.49396 -1.65234 0.0581468 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0.595992 0.0839016 -0.287654 
-1.24145 -1.73813 -1.84257 
-1.71436 -2.06803 -2.38604 
0 0 0 
0 0 0 
-1.37025 -1.72761 -1.29414 
-1.12409 -1.22572 -1.36856 
0 0 0 
0 0 0 
0 0 0 
-0.463752 -0.594715 -0.630943 
0 -0.211277 0 
0 0 0 
-0.227928 0 0 
-0.996848 -0.0035216 -0.0251822 
-0.598362 0.716503 1.90817 
0 0 0 
0 0 0 
3.90129 1.91101 2.8173 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 -0.0787638 0 
0 0 0 
0 0 0 
1.58746 2.8647 0.759451 
-0.259144 -0.767423 -0.549558 
-0.15717 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-0.11814 -0.20989 -0.174428 
0 0 0 
0 0 0 
0 0 0 
-1.40307 -1.55349 -0.0947658 
-0.890686 -0.422981 -0.436348 
0 0 0 
0 0 0 
2.39412 0.183492 0.321438 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-0.0512447 -1.63 0 
-1.03718 0 0 
0 0 0 
0 0 0 
-1.7131 -2.21361 -3.14759 
